F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE,CLAIMNO
F,11,4,2,M2,S2,M2,L3,D,0,12.99,1
F,5,10,2,M1,S2,M1,L2,B,0,294.13,10
P,1,10,2,M1,S5,M0,L1,D,0,1.00,0
F,13,10,2,C,S2,M1,L2,B,0,16.35,1
F,2,10,2,M1,S1,M1,L1,B,0,300.02,3
F,1,8,2,M2,S3,M3,L2,D,0,8.40,0
F,13,20,2,C,S3,M0,L1,B,0,52.76,3
F,2,6,2,M2,S3,M1,L2,D,0,23.78,2
F,10,0,2,M2,S3,M2,L1,B,3,0.65,0
F,8,10,2,M1,S2,M1,L1,B,0,128.23,4
F,1,20,2,M1,S1,M1,L1,B,0,239.45,2
F,8,8,3,M2,S2,M2,L1,B,0,1.00,0
F,5,10,2,M1,S2,M1,L3,B,0,13.93,0
F,12,20,2,M1,S1,M2,L2,B,0,4.49,0
F,5,0,2,M2,S2,M1,L1,E,0,2.00,0
F,1,14,2,M2,S2,M1,L1,B,1,8.09,0
F,5,0,2,H1,S2,M2,L2,D,2,2.00,0
P,12,2,2,M2,S2,M2,L3,D,0,1.00,0
F,3,4,2,M2,S2,M1,L1,D,1,4.00,0
F,13,10,2,M1,S3,M1,L2,D,0,10.09,1
F,13,10,3,M2,S0,M2,L2,D,0,0.93,0
F,8,10,3,M2,S1,M2,L2,D,0,10.95,0
F,10,4,2,M1,S1,M1,L2,D,1,5.61,0
P,1,8,2,H2,S5,M3,L2,E,0,1.00,0
F,11,4,2,M1,S0,M1,L3,D,0,8.36,0
F,1,6,2,H1,S2,M3,L2,D,1,71.04,0
F,12,14,2,M1,S1,M2,L2,B,0,6.67,0
F,1,0,2,M1,S1,M2,L2,D,0,29.40,2
F,2,6,2,M2,S1,M2,L2,D,2,6.91,0
F,4,0,2,M1,S1,M2,L1,B,3,4.00,0
F,2,2,2,M1,S1,M1,L1,D,0,31.45,0
F,2,10,2,M1,S1,M2,L4,B,0,1.00,0
F,5,0,2,M2,S2,M1,L1,D,2,5.00,1
F,13,20,2,M1,S0,M1,L1,B,0,5.13,0
F,11,8,2,M1,S3,M2,L2,D,0,2.21,2
F,1,14,2,M1,S0,M1,L1,B,0,2.42,0
F,2,2,2,M2,S2,M2,L2,D,1,46.54,1
F,3,14,2,M1,S3,M0,L1,D,0,39.59,2
F,10,10,2,M1,S1,M1,L3,D,0,28.06,3
F,11,4,2,M2,S1,M2,L3,D,1,7.48,0
P,14,0,2,M2,S5,M1,L1,D,4,1.89,0
F,13,10,2,M1,S2,M2,L1,D,0,2.89,0
F,11,14,2,M1,S1,M1,L3,D,0,15.00,1
F,2,0,2,M1,S5,M2,L1,B,1,0.24,0
F,1,0,2,H2,S2,M3,L1,B,2,3.00,0
F,7,6,2,H1,S3,M3,L2,D,0,2.00,0
P,4,0,2,M1,S5,M2,L1,B,3,0.25,0
F,8,4,2,M2,S0,M1,L1,B,1,1.00,0
F,3,8,3,M2,S1,M1,L1,D,0,4.57,1
P,2,0,2,M1,S3,M1,L1,D,0,2.00,0
F,4,2,2,H1,S2,M3,L2,D,2,2.00,0
F,4,2,2,M1,S1,M3,L2,B,0,0.13,0
F,4,8,2,M2,S1,M3,L3,D,0,1.00,0
F,6,20,2,M1,S3,M0,L2,B,0,1.00,1
F,4,2,2,M1,S3,M1,L1,B,1,7.76,0
F,3,6,2,M1,S3,M1,L3,E,0,1.00,0
F,9,8,2,M2,S3,M3,L2,B,0,0.18,0
F,6,14,2,M1,S3,M1,L4,B,0,1.86,1
P,12,8,2,M1,S5,M2,L2,D,0,0.55,0
F,4,6,2,H2,S2,M3,L1,D,0,1.00,0
F,11,14,2,M2,S0,M3,L2,B,0,3.18,0
F,3,14,2,M1,S2,M2,L4,B,0,1.00,0
F,9,6,2,M2,S0,M1,L2,D,1,3.46,0
F,3,6,2,C,S2,M1,L1,B,0,11.78,0
F,4,14,2,M1,S2,M2,L3,B,0,1.00,0
P,4,10,2,M2,S3,M2,L1,D,1,1.00,0
F,9,20,2,M2,S2,M0,L1,D,0,2.00,0
F,1,10,1,M1,S1,M2,L1,B,0,2.79,0
F,4,0,2,M1,S2,M1,L2,B,2,5.00,1
F,9,0,2,M1,S0,M1,L1,D,0,3.15,1
F,11,2,2,M1,S2,M1,L2,D,2,1.00,0
F,2,8,2,M1,S1,M2,L1,D,0,9.20,1
F,14,14,2,M2,S0,M3,L1,D,0,0.16,0
F,12,8,2,M2,S1,M3,L2,B,0,2.10,0
P,15,0,2,M1,S0,M1,L2,B,0,1.00,0
F,14,20,2,H2,S0,M3,L2,B,0,1.00,0
F,14,0,2,M2,S0,M1,L1,D,2,2.83,0
F,3,20,2,H1,S2,M1,L1,D,0,1.29,0
P,5,0,2,M2,S5,M2,L2,D,0,1.36,0
