F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE
F,1,10,3,M1,S1,M1,L2,B,0,16.50
F,2,10,2,M1,S1,M1,L2,B,0,353.98
F,1,10,2,H2,S2,M3,L1,D,0,28.50
F,1,14,2,C,S3,M0,L4,B,0,23.24
F,7,6,2,M1,S1,M1,L2,D,0,98.89
F,4,14,2,M1,S1,M2,L2,D,0,4.56
F,2,8,2,H2,S1,M3,L2,D,0,8.00
F,11,14,3,M2,S2,M1,L2,D,0,9.17
F,2,10,2,M1,S1,M2,L2,D,0,39.86
F,2,10,2,M1,S2,M1,L3,B,0,9.32
F,1,0,2,M1,S2,M2,L2,B,0,166.43
F,3,14,2,H1,S1,M2,L1,D,0,5.17
F,2,14,2,C,S2,M1,L2,D,0,8.23
F,3,2,2,M1,S3,M1,L1,B,0,52.24
F,9,14,2,C,S1,M0,L2,B,0,75.24
F,9,4,2,M1,S2,M1,L3,B,0,3.43
F,9,2,2,M1,S1,M1,L2,B,0,69.92
F,1,0,2,H1,S2,M2,L1,B,2,4.00
F,13,20,2,C,S2,M1,L1,D,0,10.32
F,1,0,2,H1,S2,M3,L1,D,4,4.92
F,9,14,2,M1,S1,M1,L2,D,0,137.67
F,4,6,2,C,S3,M0,L2,B,0,3.00
F,13,10,2,M1,S1,M2,L1,D,0,1.00
F,5,6,2,M1,S2,M1,L1,D,0,11.42
F,1,10,3,M1,S2,M1,L3,D,0,11.01
F,8,20,1,M1,S3,M1,L1,B,0,1.00
F,7,10,2,H1,S2,M3,L2,B,2,1.00
F,1,8,3,M2,S1,M1,L3,D,0,6.85
F,1,4,2,H1,S3,M3,L2,D,1,10.20
F,8,10,2,M1,S0,M1,L1,D,0,3.00
F,8,10,3,M2,S1,M1,L4,D,0,1.00
F,4,20,2,M2,S1,M1,L1,D,0,0.92
F,9,4,2,H1,S1,M2,L2,D,1,8.07
F,1,0,2,M2,S2,M1,L1,E,4,14.25
F,2,4,2,H1,S1,M2,L3,D,0,10.93
F,1,4,2,M1,S2,M0,L2,B,1,4.88
F,8,20,2,M1,S1,M1,L2,D,0,10.76
F,1,0,2,M1,S5,M1,L1,E,0,1.00
F,6,20,3,M2,S2,M1,L1,D,0,2.00
F,2,10,3,M2,S1,M2,L3,D,0,0.89
F,4,8,2,M2,S5,M1,L1,D,0,1.00
F,9,10,2,M1,S0,M1,L4,D,0,1.00
F,10,14,2,M2,S0,M2,L2,D,1,2.00
P,3,4,3,M2,S5,M1,L2,D,0,2.00
F,15,20,2,C,S2,M0,L2,B,0,1.00
F,10,2,2,M2,S1,M3,L2,D,0,1.00
F,5,6,2,C,S3,M1,L1,B,0,3.00
F,14,6,2,M1,S2,M2,L2,B,0,1.50
P,9,0,2,M2,S1,M2,L2,D,1,1.00
F,8,4,2,M2,S1,M2,L3,D,1,6.35
F,4,4,3,M1,S2,M2,L2,B,2,1.00
F,4,8,2,M2,S1,M3,L2,D,0,2.00
F,2,10,2,M1,S1,M1,L2,D,1,3.48
P,3,4,2,M1,S5,M1,L1,B,0,1.00
P,12,8,2,M2,S0,M1,L1,D,0,1.00
F,2,0,2,H1,S2,M2,L1,D,2,6.00
F,2,0,2,M1,S3,M1,L2,D,2,2.00
F,5,8,2,M2,S2,M1,L3,D,0,4.21
F,7,14,3,M1,S1,M1,L2,B,0,1.12
F,14,14,1,M1,S0,M1,L2,B,0,0.38
P,8,0,2,M1,S1,M1,L2,B,0,5.00
F,14,2,2,M2,S0,M3,L2,B,0,1.00
P,7,8,3,M1,S5,M1,L3,D,0,1.00
F,14,0,2,M2,S2,M1,L1,D,1,1.00
F,8,10,2,M2,S2,M3,L1,B,0,1.00
F,13,10,3,M2,S1,M1,L2,D,0,1.00
F,12,2,2,M2,S2,M2,L2,D,1,2.00
P,9,4,2,C,S3,M0,L2,B,1,1.00
F,2,6,3,M2,S1,M1,L1,D,0,2.36
F,9,8,2,M2,S0,M1,L2,D,1,1.00
F,10,10,2,M2,S1,M3,L3,D,0,0.61
P,4,4,2,M2,S2,M2,L2,D,0,1.00
F,5,2,2,M1,S1,M1,L3,D,3,1.00
F,4,10,1,H2,S2,M3,L1,B,1,0.64
P,10,10,3,M1,S1,M1,L4,D,0,1.00
F,9,4,2,M2,S0,M1,L1,D,1,2.00
F,5,20,1,C,S3,M2,L1,B,0,1.00
F,9,6,2,H1,S0,M2,L2,D,0,3.00
F,5,6,2,H1,S2,M3,L1,D,0,3.00
P,12,8,2,M1,S5,M1,L2,B,0,3.00
F,4,0,2,M1,S1,M1,L1,D,3,0.65
P,5,0,2,M1,S2,M1,L1,B,4,1.21
F,4,10,1,M1,S2,M1,L3,D,0,1.00
F,15,2,2,M1,S3,M1,L2,B,0,2.00
F,7,2,2,M2,S3,M1,L2,D,0,2.00
P,6,6,2,H2,S5,M3,L4,D,1,1.00
F,15,6,2,M2,S1,M3,L2,B,0,1.00
P,1,14,2,M2,S5,M3,L1,B,0,1.32
F,1,8,3,M2,S2,M1,L4,D,0,2.12
P,6,6,2,M1,S1,M1,L1,B,0,1.00
F,1,20,3,C,S3,M0,L1,E,0,0.87
F,1,0,2,M2,S1,M1,L1,E,1,1.00
F,12,20,2,C,S1,M0,L4,B,0,1.00
P,9,6,2,M2,S1,M2,L2,D,0,3.56
F,9,2,2,M1,S2,M2,L2,B,0,2.88
F,8,4,2,H2,S1,M3,L3,D,0,1.00
P,2,0,2,M2,S1,M2,L1,D,2,2.00
F,9,14,2,C,S1,M0,L1,D,0,1.00
P,14,2,2,H2,S5,M3,L3,D,3,0.24
F,14,2,2,H1,S3,M3,L3,D,0,0.46
F,14,14,2,M2,S0,M2,L3,D,0,0.15
P,14,10,1,M1,S5,M1,L1,B,0,0.40
F,7,10,2,H2,S1,M3,L2,D,0,7.00
F,8,10,2,H2,S1,M3,L1,D,1,1.00
F,8,2,2,M2,S2,M2,L2,D,2,3.00
F,3,20,2,M2,S1,M2,L1,D,0,1.00
F,11,10,2,M1,S1,M2,L1,B,1,1.22
P,14,4,2,C,S5,M1,L1,B,0,1.00
P,1,0,2,M2,S1,M2,L1,D,5,1.00
F,10,10,2,M2,S1,M3,L2,D,0,2.15
F,2,14,1,M1,S2,M1,L1,D,0,1.00
F,5,8,2,H1,S1,M2,L1,D,0,1.40
F,5,4,2,M1,S3,M1,L3,D,2,1.00
P,10,6,2,M1,S5,M1,L1,B,0,1.19
P,15,2,2,H1,S5,M2,L2,E,1,1.00
F,9,20,2,M2,S0,M2,L2,B,0,1.00
F,3,8,3,M2,S3,M2,L3,D,0,1.00
F,1,2,2,H1,S3,M3,L3,D,1,3.00
F,2,6,2,H2,S2,M3,L3,D,2,1.00
F,8,2,2,M2,S2,M2,L1,D,2,0.82
F,11,20,2,H2,S3,M3,L1,B,0,1.00
P,10,10,3,M1,S5,M1,L2,D,0,1.00
P,11,0,2,H2,S5,M3,L1,D,2,1.00
F,11,10,2,M2,S2,M2,L4,D,0,1.00
F,3,2,2,H2,S2,M3,L2,B,0,1.00
F,3,2,3,M2,S2,M1,L1,D,0,1.00
F,3,20,3,M1,S2,M1,L4,D,0,1.00
F,14,10,2,H1,S1,M3,L1,D,1,0.96
F,4,10,2,M1,S1,M1,L1,D,1,1.00
F,1,10,2,H1,S5,M2,L1,D,1,1.00
F,8,0,2,M1,S1,M3,L1,B,0,1.00
P,12,6,2,H2,S5,M3,L1,B,0,1.00
P,1,4,2,M2,S5,M2,L1,D,0,1.00
